Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Sr. No.
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,117
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,118
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,119
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,120
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,121
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,122
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,123
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,124
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,125
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,126
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,127
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,128
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,129
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,130
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,131
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,132
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,133
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,134
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,135
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,136
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,137
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,138
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,139
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,140
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,141
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,142
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,143
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,144
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,145
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,146
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,147
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,148
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,149
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,150
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,151
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,152
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,153
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,154
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,155
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,156
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,157
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,158
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,159
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,160
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,161
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,162
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,163
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,164
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,165
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,166
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,167
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,168
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,169
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,170
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,171
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,172
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,173
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,174
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,175
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,176
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,177
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,178
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,179
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,180
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,181
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,182
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,183
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,184
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,185
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,186
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,187
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,188
130 + 125 + 191 का योग क्या है?,123,345,446,445,446,189
1500 में से 712 घटाने पर क्या प्राप्त होगा?,788,766,565,780,788,190
20 + (90 ÷ 2) को हल करें।,67,65,61,60,65,191
"यदि x + 5 = 12 है, तो x का मान ज्ञात कीजिए।",5,6,4,7,7,192
